phrase,human_frequency,ai_frequency,mean_attribution,median_attribution,occurrence_in_ig_test
Jones be sent,0,1,0.1690686419606208,0.1690686419606208,1
"duets after supper,",1,1,0.1654764581471681,0.1654764581471681,1
her sister was,1,1,0.1645641587674617,0.1645641587674617,1
seize the good,0,1,0.1643607262521982,0.1643607262521982,1
eager to acquire,0,1,0.1629659235477447,0.1629659235477447,1
for an opportunity,0,1,0.1609100112691521,0.1609100112691521,1
thus eager to,0,1,0.1602982506155967,0.1602982506155967,1
"be effective, recommended",0,0,0.1596036888659,0.1596036888659,1
character of needless,1,1,0.1593746170401573,0.1593746170401573,1
PrejudiceâĢĶleft to,0,0,0.1588186901062727,0.1588186901062727,1
was perpetually eager,0,1,0.1572999469935894,0.1572999469935894,1
Affectation of,1,1,0.1538935583084821,0.1538935583084821,1
Elizabeth rejoined them,0,1,0.1528075067326426,0.1528075067326426,1
"with fortune, might",0,0,0.1522942446172237,0.1522942446172237,1
remember at night,1,1,0.1516914442181587,0.1516914442181587,1
you? Their manners,0,0,0.148802476003766,0.148802476003766,1
nonsense of others!,0,1,0.1481987424194812,0.1481987424194812,1
"Miss Lucas,",6,6,0.1477910066023469,0.1477910066023469,1
deem himself entitled,0,1,0.1474194899201393,0.1474194899201393,1
might deem himself,0,1,0.1472182050347328,0.1472182050347328,1
Jones be,0,1,0.1468788012862205,0.1468788012862205,1
"said Miss Lucas,",3,2,0.1456813579425215,0.1456813579425215,1
"man, with",0,0,0.143798679113388,0.143798679113388,1
you like this,1,1,0.1437600012868642,0.1437600012868642,1
and PrejudiceâĢĶleft,0,0,0.1426688227802515,0.1426688227802515,1
dispatched early the,0,1,0.1424175463616848,0.1424175463616848,1
be sent for,1,1,0.1420786008238792,0.1420786008238792,1
"effective, recommended",0,0,0.1419660188257694,0.1419660188257694,1
singing duets after,0,1,0.1418717317283153,0.1418717317283153,1
"could be effective,",0,1,0.1414028238505125,0.1414028238505125,1
"too, do you?",0,0,0.1409057220444083,0.1409057220444083,1
to acquire knowledge,0,1,0.1405597394332289,0.1405597394332289,1
merely to,2,2,0.1381898522377014,0.1381898522377014,1
others! Affectation,0,0,0.138004831969738,0.138004831969738,1
"Lucas, âĢľis",0,0,0.137547736056149,0.137547736056149,1
Elizabeth rejoined,0,1,0.1374582257121801,0.1374582257121801,1
to acquire,0,3,0.1352910958230495,0.1352910958230495,1
"sing again, she",0,0,0.1333193341270089,0.1333193341270089,1
song or two,0,1,0.1330316178500652,0.1330316178500652,1
that her sister,1,1,0.1329007558524608,0.1329007558524608,1
candour is common,1,1,0.1324063371866941,0.1324063371866941,1
"fortune, might deem",0,0,0.1311840564012527,0.1311840564012527,1
sister was,1,1,0.130109041929245,0.130109041929245,1
do you?,7,8,0.1293936828151345,0.1293936828151345,1
"be effective,",0,1,0.1263425014913082,0.1263425014913082,1
of needless,1,1,0.1249220967292785,0.1249220967292785,1
Pride and PrejudiceâĢĶleft,0,0,0.1239633467048406,0.1239633467048406,1
obedient and,0,1,0.1217263154685497,0.1217263154685497,1
by singing duets,0,1,0.1211711065843701,0.1211711065843701,1
at night,5,3,0.1203703954815864,0.1203703954815864,1
for an,5,3,0.1197220990434289,0.1197220990434289,1
like this manâĢĻs,0,0,0.1191343739628791,0.1191343739628791,1
make it,3,1,0.1190811432898044,0.1190811432898044,1
candour is,1,1,0.1185466516762971,0.1185466516762971,1
convinced that no,1,1,0.1171703692525625,0.1171703692525625,1
entirely unwilling to,0,1,0.1171680949628353,0.1171680949628353,1
"accomplishments, was",0,0,0.116810705512762,0.116810705512762,1
most obedient,0,1,0.1166418008506298,0.1166418008506298,1
"after supper, while",0,0,0.115881897509098,0.115881897509098,1
wretchedness by singing,0,1,0.1158022107556462,0.1158022107556462,1
candid without ostentation,1,1,0.1144931321032345,0.1144931321032345,1
at night all,1,1,0.113618710078299,0.113618710078299,1
pervades the novel.],0,1,0.1113551510497927,0.1113551510497927,1
be sent,1,2,0.1109541654586792,0.1109541654586792,1
instrument eagerly to,0,1,0.1102229165844619,0.1102229165844619,1
himself entitled,0,1,0.110000155866146,0.110000155866146,1
"effective, recommended an",0,0,0.1099601499736309,0.1099601499736309,1
sister was worse,1,1,0.1094393916428089,0.1094393916428089,1
seize the,0,1,0.1081965956836938,0.1081965956836938,1
said Miss,5,3,0.1062081214040517,0.1062081214040517,1
"with fortune,",0,1,0.105697501450777,0.105697501450777,1
singing duets,0,1,0.1056155487895011,0.1056155487895011,1
eager to,0,2,0.1051184125244617,0.1051184125244617,1
song or,0,1,0.1044627595692873,0.1044627595692873,1
she yielded the,0,1,0.1041338108479976,0.1041338108479976,1
"again, she yielded",0,0,0.1031171018257737,0.1031171018257737,1
"and accomplishments, was",0,0,0.1028224639594554,0.1028224639594554,1
"âĢľAnother time, Lizzy,âĢĿ",0,0,0.1012160060927271,0.1012160060927271,1
of others!,4,4,0.1011592335999012,0.1011592335999012,1
duets after,1,1,0.1011071726679802,0.1011071726679802,1
"after supper,",1,1,0.1006254684180021,0.1006254684180021,1
deem himself,0,1,0.1006214618682861,0.1006214618682861,1
"to sing again,",0,1,0.0990928178653121,0.0990928178653121,1
early the,0,1,0.0989779531955719,0.0989779531955719,1
like this,1,1,0.0982889514416456,0.0982889514416456,1
"her brotherâĢĻs proposal,",0,0,0.0980281494557857,0.0980281494557857,1
instructions to ensure,0,1,0.097953975200653,0.097953975200653,1
to be candid,1,1,0.0977129507809877,0.0977129507809877,1
convinced that,4,4,0.096465814858675,0.096465814858675,1
yielded the instrument,0,1,0.0957493484020233,0.0957493484020233,1
the novel.],0,2,0.0955548174679279,0.0955548174679279,1
this manâĢĻs,0,0,0.095002407208085,0.095002407208085,1
say that her,1,1,0.0948373153805732,0.0948373153805732,1
"supper, while he",0,0,0.094796878285706,0.094796878285706,1
though not,10,5,0.0945227826014161,0.0945227826014161,1
she yielded,0,1,0.0941723994910717,0.0941723994910717,1
"fortune, might",0,0,0.0937647223472595,0.0937647223472595,1
do you? Their,0,0,0.093751193024218,0.093751193024218,1
perpetually eager,0,1,0.0937045775353908,0.0937045775353908,1
common enough; one,0,0,0.0922300945967435,0.0922300945967435,1
of; yet,0,0,0.0921595031395554,0.0921595031395554,1
reserved for you,0,1,0.0918656783178448,0.0918656783178448,1
found relief in,0,1,0.0911889430135488,0.0911889430135488,1
performance was,1,1,0.0909364130347967,0.0909364130347967,1
